File | Modal | Async Call | Has Loader | Needs Loader?
---|---|---|---|---
Dropdown.js | Yes | False | False | False
FloorPlanBuilderModal.js | Yes | False | False | False
TableActionModal.js | Yes | True | False | True
TableDetailsModal.js | Yes | False | False | False
MergeTablesModal.js | Yes | False | False | False
OnlineOrderPaymentModal.js | Yes | False | False | False
DeleteConfirmModal.js | Yes | False | False | False
SupplierFormModal.js | Yes | True | False | True
SupplierDetailModal.js | Yes | False | False | False
SupplierHeader.js | Yes | False | False | False
InvoiceDetailsModal.js | Yes | False | False | False
InvoicesListTab.js | Yes | False | False | False
ExpenseModal.js | Yes | False | True | False
UtilityModal.js | Yes | False | True | False
WithdrawalModal.js | Yes | False | True | False
Sidebar.js | Yes | True | False | True
AddCustomerModal.js | Yes | False | True | False
AddTaxModal.js | Yes | False | False | False
SupportTicketSlider.js | Yes | True | True | False
TaxConfigModal.js | Yes | False | False | False
DiscountConfigModal.js | Yes | False | False | False
ServiceRenewalModal.js | Yes | False | False | False
BillingConfigModal.js | Yes | False | False | False
PrintConfigModal.js | Yes | False | False | False
DatePickerModal.js | Yes | False | False | False
QRPreviewModal.js | Yes | False | False | False
SessionConflictModal.js | Yes | True | True | False
SplitPaymentModal.js | Yes | False | False | False
EmployeeSelectionModal.js | Yes | False | False | False
ItemNoteModal.js | Yes | False | False | False
CustomerReceiptModal.js | Yes | False | False | False
EBillModal.js | Yes | False | False | False
ParkedSalesModal.js | Yes | False | False | False
CartPanel.js | Yes | False | False | False
EBillCheckoutModal.js | Yes | False | False | False
VariantSelectorModal.js | Yes | False | False | False
SettlePaymentModal.js | Yes | False | False | False
MobileCartModal.js | Yes | False | False | False
KOTReceiptModal.js | Yes | False | False | False
DiscountModal.js | Yes | False | False | False
TakeawayOrdersPanel.js | Yes | True | False | True
CreateTicketModal.js | Yes | False | False | False
MyTicketsTab.js | Yes | False | False | False
ProductInventoryModal.js | Yes | True | True | False
InventoryItemModal.js | Yes | True | False | True
InventoryActionModal.js | Yes | True | False | True
StockListTab.js | Yes | True | False | True
BulkActionModal.js | Yes | False | False | False
MenuItemWizardModal.js | Yes | False | False | False
EmployeeModal.js | Yes | True | False | True
BranchDetailsModal.js | Yes | False | False | False
BranchFormModal.js | Yes | False | False | False
PaymentModal.js | Yes | True | False | True
NotificationDropdown.js | Yes | True | False | True
SalesReports.js | Yes | False | False | False
index.js | Yes | True | False | True
index.js | Yes | True | True | False
index.js | Yes | True | True | False
index.js | Yes | True | True | False
index.js | Yes | False | False | False
index.js | Yes | False | False | False
index.js | Yes | True | True | False
index.js | Yes | True | False | True
index.js | Yes | True | True | False
index.js | Yes | True | False | True
index.js | Yes | True | False | True
index.js | Yes | True | True | False
index.js | Yes | True | False | True
index.js | Yes | False | False | False
_layout.js | Yes | False | False | False
